등록번호	책제목	소장도서관	빌린날짜
EM0000109503	카카오 AI 리포트 = KAKAO AI report : 인간과 인공지능을 말하다	문산도서관	2019-01-04
GM0000166230	Hello Coding 한입에 쏙 파이썬 : 크리에이터 김왼손의 쉽고 빠른 파이썬 강의	교하도서관	2019-01-04
HB0000072019	이언 스튜어트는 어떻게 케이크를 자를까? : 수학의 천재들이 푸는 수학 퍼즐의 세계	한빛도서관	2019-01-04
HB0000078413	페이퍼퀼링 레슨 : 손끝으로 만드는 특별한 시간	한빛도서관	2019-01-04
HB0000075253	잘 그리지도 못하면서 : 김중석 에세이	한빛도서관	2019-01-04
HB0000052923	천사의 시간 : 갖고 싶은 나만의 천사,행운과 사랑을 전하는 종이접기	한빛도서관	2019-01-04
HB0000021010	(특별한 우리 아이를 위한)입체 종이접기 : 재미팡팡 생각쏙쏙!	한빛도서관	2019-01-04
HB0000062446	(내 손으로 만드는)사랑스러운 우리아이 한복	한빛도서관	2019-01-05
HB0000070583	(리넨으로 시작하는)여성복 만들기	한빛도서관	2019-01-05
HB0000066704	신선미의 한복유희 : 동양화가 신선미가 보여주는 한복의 새로운 모습	한빛도서관	2019-01-05
HB0000074891	내 몸이 보내는 이상신호가 나를 살린다	한빛도서관	2019-01-05
HB0000021059	창의력 + EQ 발달을 위한 종이접기, 초등 선행학습 편	한빛도서관	2019-01-05
HB0000028437	알록달록 종이마을	한빛도서관	2019-01-05
HB0000028433	(IQ CQ EQ UP!)종이접기 : 신나는 동물여행	한빛도서관	2019-01-05
HB0000021114	창의력 + EQ 발달을 위한 종이접기, 인기, 응용 편	한빛도서관	2019-01-05
HB0000075124	(아이에게 '좋은 아빠'를 선물하는)하루 15분 아빠놀이터 : 3~10세 아이와 함께 즐기는 '아빠놀이 육아!'	한빛도서관	2019-01-09
HB0000075338	(코딩책과 함께 보는)코딩 개념 사전	한빛도서관	2019-01-09
LM0000017670	(이경희 소장의)2020 창업 트렌드	한울도서관	2019-01-12
LM0000016802	빅데이터를 지탱하는 기술 : 시시각각 변하는 데이터를 파악하는 자동화의 세계	한울도서관	2019-01-12
LM0000012954	사이언스 빌리지 = Science village	한울도서관	2019-01-12
LM0000016206	모두의 SQL = SQL for everyone : 누구나 쉽게 배우는 데이터 분석 기초	한울도서관	2019-01-12
LM0000010802	코딩시대 = Coding time : 코드, 미래를 지배하는 언어	한울도서관	2019-01-12
HB0000074963	득점력을 높이는 농구 공격 전술	한빛도서관	2019-01-19
HB0000074846	기획자의 습관	한빛도서관	2019-01-19
ZM0000036977	웹 데이터 수집의 기술. 입문편	가람도서관	2019-01-25
GM0000170085	보고서의 법칙 : 일주일 내로 보고서를 써야 하는 당신에게	교하도서관	2019-01-25
HB0000058356	스미홈트 : 부위별 운동부터 식단까지 한 권에 담은 파워 다이어트	한빛도서관	2019-01-25
LM0000004616	강약중강약 : 본격의약협업토크	한울도서관	2019-02-02
LM0000009306	데이터 분석의 힘 : 그 많은 숫자들은 어떻게 전략이 되는가	한울도서관	2019-02-02
LM0000016758	모바일 트렌드 2019 : 지금 우리에게 5G란 무엇인가	한울도서관	2019-02-02
LM0000012801	(4차 산업혁명을 주도할)6가지 코드 : 코딩과 디자인으로 미래를 설계하는 법	한울도서관	2019-02-02
LM0000019133	(백종원이 추천하는)집밥 메뉴 52	한울도서관	2019-02-02
LM0000007873	(하리하라의)음식 과학 : 혀가 호강하고 뇌가 섹시해지는 음식 과학의 세계	한울도서관	2019-02-02
LM0000009758	음식해부도감 : 전 세계 미식탐험에서 발견한 음식에 대한 거의 모든 지식	한울도서관	2019-02-02
HB0000017367	호호 마녀와 낄낄 마녀	한빛도서관	2019-02-02
HB0000033880	졸려요 졸려요 아기 사자	한빛도서관	2019-02-02
HB0000054066	(세밀화로 보는)꽃과 나비	한빛도서관	2019-02-02
HB0000007182	백설 공주. 2	한빛도서관	2019-02-02
HB0000074334	사라지는 동물 친구들 : 숨은그림찾기로 만나는 50마리 멸종 위기 동물	한빛도서관	2019-02-02
HB0000007186	미녀와 야수, 마법의 크리스마스	한빛도서관	2019-02-02
HB0000074745	(Disney's)아기사슴 밤비 : 밤비와 엄마 잃은 다람쥐	한빛도서관	2019-02-02
HB0000007205	귀족 고양이	한빛도서관	2019-02-02
